Source_Name	RA_(deg)	Dec_(deg)	Flux_(Jy)
0534+194	83.685493	19.455938	6.800
1330+251	202.657038	25.153049	6.800
0502+252	75.744094	25.273401	5.400
1609+266	242.305503	26.691399	4.830
0431+206	67.765675	20.626181	3.850
1143+221	175.854539	22.115575	3.000
0129+236	22.499172	23.639091	2.950
0603+219	90.964821	21.993805	2.750
1520+202	230.022874	20.268225	2.500
1549+214	237.454265	21.427460	2.500
1556+200	239.041742	20.072348	2.300
0738+177	114.530807	17.705277	2.200
2021+233	305.264484	23.309909	2.100
2251+188	342.894744	18.811151	2.000
2254+247	343.538925	24.756506	1.840
0403+260	60.773275	26.000417	1.700
1021+219	155.477204	21.991789	1.700
0604+203	91.119456	20.356176	1.600
1357+193	209.268486	19.318715	1.600
1513+236	228.417440	23.643111	1.600
2035+189	308.891585	18.951486	1.450
0842+185	130.521226	18.594720	1.400
1120+234	170.179367	23.465261	1.350
0412+230	63.181945	23.084848	1.300
1111+199	167.833608	19.926667	1.300
1925+211	291.498356	21.107267	1.300
0854+201	133.703646	20.108511	1.100
0954+177	148.736765	17.725340	1.100
1158+248	179.607448	24.838323	1.100
1745+173	266.396701	17.333729	1.100
2340+266	355.120956	26.699112	1.100
0152+221	28.075246	22.118806	1.070
1327+221	201.753589	22.180601	1.020
1051+213	162.953288	21.331198	1.000
1125+261	171.473800	26.172216	1.000
0126+259	21.678303	25.983695	0.930
0010+174	2.641628	17.405211	0.900
0832+185	128.066834	18.536704	0.900
0956+252	149.207814	25.254458	0.900
2009+250	302.354615	25.096541	0.900
0425+179	66.351928	17.923645	0.820
0700+171	105.006356	17.156028	0.820
2152+175	328.103414	17.577165	0.800
0042+233	10.518938	23.333628	0.780
1016+206	154.184675	20.629807	0.760
0510+180	77.509871	18.011550	0.750
0559+238	89.883471	23.898313	0.720
1014+230	153.696106	23.021270	0.700
1122+180	170.623798	18.090651	0.700
1150+242	177.580051	24.298288	0.700
1759+237	269.751492	23.729709	0.700
0325+226	51.403393	22.400101	0.690
0122+250	20.661733	25.042165	0.600
0802+181	120.700133	18.163680	0.600
0830+241	127.717026	24.183283	0.600
0837+249	129.417690	24.906423	0.600
1013+248	153.472620	24.821234	0.600
1024+192	156.186707	19.205671	0.600
1436+233	219.170755	23.350905	0.600
1446+173	221.647276	17.352106	0.600
1716+218	259.046628	21.870463	0.600
1103+220	165.846115	22.060478	0.560
2212+239	333.024860	23.927929	0.560
0603+177	90.788043	17.704670	0.500
0645+213	101.350415	21.364223	0.500
1719+177	259.804369	17.751788	0.500
1516+195	229.236651	19.536942	0.460
0112+227	18.024270	22.744107	0.430
0319+190	49.963570	19.025359	0.420
0746+258	116.607809	25.817260	0.420
1931+227	292.853820	22.725350	0.410
0253+180	43.395343	18.095145	0.400
0149+189	27.457162	18.955725	0.380
1443+250	220.987047	25.029028	0.350
1434+198	218.665806	19.866871	0.340
1411+215	212.978592	21.573177	0.210
1935+205	293.793637	20.531710	0.200
