Source_Name	RA_(deg)	Dec_(deg)	Flux_(Jy)
0440-435	70.071583	-43.552390	5.000
1218-460	184.526050	-46.008058	4.600
0010-418	2.718832	-41.886331	4.100
1020-428	155.013978	-42.861538	4.000
0538-440	84.709840	-44.085816	3.800
0042-442	10.539259	-44.237661	3.500
1427-421	216.984573	-42.105399	3.200
2326-404	351.642254	-40.454211	3.200
1323-448	200.767692	-44.876070	3.000
0024-420	6.179125	-42.034431	2.800
0203-438	30.919810	-43.830773	2.800
0455-462	73.961552	-46.266301	2.450
2314-449	348.539095	-44.930344	2.350
0749-442	117.426065	-44.208200	2.200
1107-448	166.786226	-44.818783	2.200
0155-408	28.904414	-40.811766	1.940
1048-412	162.159463	-41.233356	1.900
1235-418	188.924721	-41.888336	1.700
2109-411	317.388286	-41.172390	1.600
2307-415	346.976399	-41.545226	1.500
2101-423	315.496309	-42.321156	1.400
1604-446	241.129270	-44.692197	1.220
0835-451	128.836063	-45.176431	1.200
1454-402	223.637135	-40.209032	0.900
0631-419	97.799992	-41.907485	0.800
2007-445	301.979950	-44.578639	0.800
0106-405	16.687950	-40.572211	0.750
1209-402	182.396847	-40.270306	0.520
0439-453	69.753561	-45.372934	0.490
1001-446	150.499617	-44.633501	0.400
1352-442	208.235562	-44.211219	0.400
0604-424	91.104908	-42.424887	0.270
